costoTotalItems,delegacion,inStore,lat,lon
5159,iztapalapa,,19.351463,-99.006378
399,coyoacan,,19.31696,-99.12769
5159,coyoacan,,19.31696,-99.12769
580,coyoacan,,19.31696,-99.12769
21599,xochimilco,,19.262187,-99.11103
2009,cuajimalpa,,19.35123,-99.294151
6994,iztacalco,,19.39303,-99.070159
16499,alvaroObregon,,19.36111,-99.194061
8919,coyoacan,,19.311586,-99.153915
15199,iztapalapa,,19.365877,-99.049461
18649,xochimilco,,19.257385,-99.014961
6759,xochimilco,,19.253156,-99.055725
13799,iztapalapa,,19.365877,-99.049461
1989,gustavo,,19.4885,-99.12685
5199,azcapotzalco,,19.472385,-99.187232
6259,iztapalapa,,19.37873,-99.051254
2439,gustavo,,19.467704,-99.066787
1989,tlalpan,,19.292388,-99.230628
23499,coyoacan,,19.301988,-99.066093
23499,tlalpan,,19.28836,-99.17466
14799,azcapotzalco,,19.49905,-99.20181
15599,gustavo,,19.49003,-99.133178
19999,cuahutemoc,,19.446191,-99.128318
21988,venustiano,,19.444992,-99.108261
891,venustiano,,19.444992,-99.108261
13799,cuahutemoc,,19.41464,-99.139549
4619,gustavo,,19.552143,-99.131088
1989,gustavo,,19.552143,-99.131088
4259,coyoacan,,19.311586,-99.153915
13799,coyoacan,,19.319931,-99.14907
13799,azcapotzalco,,19.464927,-99.180213
13799,xochimilco,,19.280563,-99.111724
4619,venustiano,,19.432802,-99.098167
3218,magdalena,,19.31109,-99.2593
10587,azcapotzalco,,19.479799,-99.191978
13799,iztapalapa,,19.346872,-99.052268
2896,iztapalapa,,19.325326,-99.057136
10039,miguelHidalgo,,19.446756,-99.197174
11999,coyoacan,,19.32323,-99.15979
349,coyoacan,,19.303735,-99.163604
956,iztapalapa,,19.382762,-99.090156
14599,gustavo,,19.49003,-99.133178
6049,tlalpan,,19.29497,-99.13202
6049,iztapalapa,,19.318372,-99.069465
6499,magdalena,,19.293785,-99.243919
4498,benitoJuarez,,19.367185,-99.162429
6499,iztapalapa,,19.346931,-99.025154
3818,cuajimalpa,,19.361991,-99.266403
5399,gustavo,,19.473976,-99.132469
100,miguelHidalgo,,19.446756,-99.197174
3699,venustiano,,19.41097,-99.125556
19999,xochimilco,,19.258678,-99.107574
3019,alvaroObregon,,19.375875,-99.200637
5019,miguelHidalgo,,19.432657,-99.177444
100,miguelHidalgo,,19.446756,-99.197174
14599,venustiano,,19.414806,-99.078536
5268,gustavo,inStore,19.492013,-99.13361
6699,iztacalco,,19.4111,-99.065773
14099,benitoJuarez,,19.36251,-99.166374
14199,xochimilco,,19.270885,-99.1138
3198,coyoacan,,19.311586,-99.153915
4659,coyoacan,,19.311586,-99.153915
3199,iztapalapa,,21.341352,-97.681945
1094,iztapalapa,,21.341352,-97.681945
3199,azcapotzalco,,19.478719,-99.177352
14199,azcapotzalco,,19.461069,-99.183677
4659,gustavo,,19.465553,-99.116912
14199,tlalpan,,19.283607,-99.188903
988,gustavo,,19.465553,-99.116912
14199,tlalpan,,19.283607,-99.188903
3199,tlalpan,,19.284385,-99.182289
6559,alvaroObregon,,19.337406,-99.204093
16599,gustavo,,19.49003,-99.133178
20499,iztapalapa,,19.382762,-99.090156
10638,iztapalapa,,21.341352,-97.681945
5159,cuahutemoc,,19.417922,-99.148384
6759,benitoJuarez,,19.376541,-99.180213
16599,alvaroObregon,,19.359972,-99.23619
6759,tlalpan,,19.294759,-99.166374
16799,miguelHidalgo,,19.434198,-99.205139
3159,iztapalapa,,19.327466,-99.103767
900,gustavo,,19.48161,-99.09361
2039,iztacalco,,19.384119,-99.121231
6759,gustavo,,19.453739,-99.066093
9318,xochimilco,,19.280563,-99.111724
3419,gustavo,,19.504348,-99.099967
2039,gustavo,,19.504348,-99.099967
2039,venustiano,,19.443157,-99.086135
14759,venustiano,,19.422796,-99.066093
14759,gustavo,,19.543708,-99.131332
14759,iztapalapa,,19.313499,-99.072402
4659,coyoacan,,19.328702,-99.164985
2039,coyoacan,,19.328702,-99.164985
3499,azcapotzalco,,19.463634,-99.172958
14199,miguelHidalgo,,19.434198,-99.205139
639,benitoJuarez,,19.388044,-99.185752
8999,iztapalapa,,19.380271,-99.088958
6359,iztapalapa,,19.328252,-99.02304
6359,cuahutemoc,,19.443178,-99.144233
6499,cuahutemoc,,19.443178,-99.144233
9699,tlalpan,,19.290952,-99.124862
13199,miguelHidalgo,,19.432657,-99.177444
16599,gustavo,,19.49003,-99.133178
14199,iztapalapa,,19.350585,-99.088562
16599,iztapalapa,,19.386812,-99.078536
14199,cuahutemoc,,19.43829,-99.15602
14199,miguelHidalgo,,19.397579,-99.230064
14199,cuahutemoc,,19.41464,-99.139549
14199,alvaroObregon,,19.36671,-99.247428
16599,alvaroObregon,,19.364337,-99.203056
14199,benitoJuarez,,19.37109,-99.16536
14199,alvaroObregon,,19.395679,-99.21128
14199,iztacalco,,19.4111,-99.065773
2039,iztapalapa,,19.344068,-99.029777
14199,gustavo,,19.487855,-99.09098
5329,iztapalapa,,19.37491,-99.110687
14199,alvaroObregon,,19.348636,-99.229385
14759,iztapalapa,,19.313499,-99.072402
14199,cuahutemoc,,19.457351,-99.155303
20499,venustiano,,19.432802,-99.098167
20499,miguelHidalgo,,19.441356,-99.180213
13199,benitoJuarez,,19.388044,-99.185752
19999,xochimilco,,19.262187,-99.11103
13199,iztapalapa,,19.357969,-99.066093
12859,miguelHidalgo,,19.454195,-99.173988
8999,venustiano,,19.414806,-99.078536
12959,iztapalapa,,19.382762,-99.090156
12959,benitoJuarez,,19.388044,-99.185752
21009,benitoJuarez,,19.388044,-99.185752
19999,alvaroObregon,,19.395689,-99.202018
13599,tlalpan,,19.300968,-99.116172
7999,miguelHidalgo,,19.441356,-99.180213
7999,tlalpan,,19.294759,-99.166374
4399,tlalpan,,19.294759,-99.166374
16599,gustavo,,19.466178,-99.104461
4349,azcapotzalco,,19.46549,-99.169143
4599,iztacalco,,19.391803,-99.10704
7449,iztapalapa,,19.380271,-99.088958
7449,iztapalapa,,19.330144,-98.971717
2390,gustavo,,19.51131,-99.139564
3713,gustavo,,19.51131,-99.139564
5999,gustavo,,19.496761,-99.07508
988,tlahuac,,19.260808,-99.005294
579,tlahuac,,19.260808,-99.005294
9999,gustavo,,19.524145,-99.160148
3298,gustavo,,19.470811,-99.107574
349,iztapalapa,,19.351463,-99.006378
3499,iztapalapa,,19.351463,-99.006378
4979,venustiano,,19.443593,-99.121406
689,iztacalco,,19.396177,-99.124748
629,gustavo,,19.533266,-99.154609
14499,coyoacan,,19.331863,-99.175369
2149,alvaroObregon,,19.397233,-99.193367
2649,iztapalapa,,19.368242,-99.11103
7398,miguelHidalgo,,19.431814,-99.194061
1798,cuajimalpa,,19.347057,-99.296577
3399,alvaroObregon,,19.331932,-99.246688
250,venustiano,,19.41097,-99.125556
4880,cuahutemoc,,19.446191,-99.128318
9496,azcapotzalco,,19.464927,-99.180213
8999,alvaroObregon,,19.345718,-99.211486
7599,alvaroObregon,,19.345718,-99.211486
999,venustiano,,19.406621,-99.124168
549,tlalpan,,19.29497,-99.13202
639,iztapalapa,,19.380271,-99.088958
2049,magdalena,,19.307001,-99.251884
2049,coyoacan,,19.321548,-99.160835
8999,iztapalapa,,19.391553,-99.042594
6359,iztapalapa,,19.391553,-99.042594
5259,azcapotzalco,,19.493692,-99.164985
8199,gustavo,,19.476545,-99.066787
5259,cuahutemoc,,19.428508,-99.134841
8598,iztapalapa,,19.369113,-99.028312
14999,cuahutemoc,,19.43925,-99.163604
18299,venustiano,,19.432802,-99.098167
14499,venustiano,,19.432802,-99.098167
8598,iztapalapa,,19.452369,-99.138412
8598,iztapalapa,,19.452369,-99.138412
14099,gustavo,,19.474042,-99.116561
7798,gustavo,,19.525054,-99.171218
11599,coyoacan,,19.321548,-99.160835
13999,iztapalapa,,19.334917,-99.026016
13899,iztapalapa,,19.334917,-99.026016
4699,iztacalco,,19.39303,-99.070159
5399,iztacalco,,19.4111,-99.065773
2019,iztapalapa,,19.380271,-99.088958
1038,miguelHidalgo,,19.443178,-99.202369
5399,venustiano,,19.427028,-99.092292
3379,azcapotzalco,,19.472385,-99.187232
11629,iztapalapa,,19.365053,-98.997695
19999,alvaroObregon,,19.3577,-99.184
18999,coyoacan,,19.335426,-99.133857
14199,gustavo,,19.49003,-99.133178
6799,benitoJuarez,,19.367185,-99.162429
20299,coyoacan,,19.327564,-99.121749
11299,magdalena,,19.308231,-99.234909
3329,iztacalco,,19.384119,-99.121231
3119,benitoJuarez,,19.387763,-99.176757
3519,cuajimalpa,,19.355751,-99.299346
3499,venustiano,,19.444992,-99.108261
12902.55,miguelHidalgo,,19.409297,-99.187828
249,gustavo,,19.520635,-99.127632
5499,miguelHidalgo,,19.431814,-99.194061
3628,tlahuac,,19.300859,-99.059181
349,iztapalapa,,19.382762,-99.090156
6499,iztapalapa,,19.345785,-99.064208
14199,gustavo,,19.496761,-99.07508
4189,iztapalapa,,19.304809,-99.083374
3399,benitoJuarez,,19.388044,-99.185752
14599,xochimilco,,19.257385,-99.014961
1429,tlalpan,,19.200069,-99.146362
6559,miguelHidalgo,,19.429861,-99.206398
8496,miguelHidalgo,,19.4053,-99.194061
4659,cuahutemoc,,19.446191,-99.128318
2039,gustavo,,19.485109,-99.072311
18199,venustiano,,19.427028,-99.092292
8599,alvaroObregon,,19.3523,-99.23645
891,iztapalapa,,19.32835,-99.064643
21499,iztapalapa,,19.32835,-99.064643
26799,iztapalapa,,19.35457,-99.12241
1329,venustiano,,19.416904,-99.091667
4199,iztapalapa,,19.318372,-99.069465
10498,benitoJuarez,,19.367185,-99.162429
6699,gustavo,,19.49003,-99.133178
5249,iztapalapa,,21.341352,-97.681945
5249,iztapalapa,,21.341352,-97.681945
5249,gustavo,,19.496761,-99.07508
5249,iztapalapa,,21.341352,-97.681945
1199.2,coyoacan,,19.32323,-99.15979
2499,coyoacan,,19.32323,-99.15979
1304,coyoacan,,19.32323,-99.15979
14659,iztapalapa,,19.351463,-99.006378
20299,gustavo,,19.452598,-99.09616
5249,coyoacan,,19.314453,-99.133506
5249,iztapalapa,,19.377367,-99.120018
23999,tlahuac,,19.300859,-99.059181
20299,cuahutemoc,,19.43925,-99.163604
20299,gustavo,,19.483718,-99.099967
1799,iztapalapa,,19.380271,-99.088958
16699,gustavo,,19.500286,-99.122093
5249,miguelHidalgo,,19.399688,-99.188522
20299,miguelHidalgo,,19.43211,-99.19117
2019,tlahuac,,19.229919,-98.98941
19999,tlahuac,,19.229919,-98.98941
20299,coyoacan,,19.348478,-99.152534
16699,iztacalco,,19.384191,-99.094779
2019,iztapalapa,,41.546276,2.10861301
6699,tlalpan,,19.287673,-99.161811
16599,venustiano,,19.422388,-99.097
5299,iztapalapa,,19.327568,-99.060783
18638,iztapalapa,,19.327568,-99.060783
5329,gustavo,,19.570714,-99.131385
2039,gustavo,,19.570318,-99.135932
19999,iztapalapa,,19.382762,-99.090156
14759,iztacalco,,19.40009,-99.11348
2039,gustavo,,19.489162,-99.116218
20499,venustiano,,19.432802,-99.098167
14999,cuahutemoc,,19.426752,-99.161842
16599,cuajimalpa,,19.36064,-99.29167
4259,gustavo,,19.515302,-99.160148
16599,tlalpan,,19.29497,-99.13202
6759,coyoacan,,19.336912,-99.000473
7080,coyoacan,,19.336912,-99.000473
9099,iztapalapa,,19.361557,-99.00875
5159,coyoacan,,19.301988,-99.066093
15599,cuahutemoc,,19.405014,-99.141464
6359,magdalena,,19.318962,-99.2266
18999,cuahutemoc,,19.446828,-99.159454
13599,gustavo,,19.484119,-99.080368
3599,alvaroObregon,,19.364337,-99.203056
1199,iztapalapa,,19.351785,-99.097602
4698,venustiano,,19.444992,-99.108261
11699,alvaroObregon,,19.375875,-99.200637
15097,benitoJuarez,,19.388044,-99.185752
3199,alvaroObregon,,19.318035,-99.268142
14099,benitoJuarez,,19.368474,-99.179519
14699,iztacalco,,19.4111,-99.065773
12959,miguelHidalgo,,19.432657,-99.177444
19999,coyoacan,,19.319931,-99.14907
239,coyoacan,,19.319931,-99.14907
13799,benitoJuarez,,19.399997,-99.15187
6658,miguelHidalgo,,19.432657,-99.177444
4129,cuahutemoc,,19.417922,-99.148384
15499,cuahutemoc,,19.417922,-99.148384
14599,tlalpan,,19.30119,-99.16394
17999,venustiano,,19.4248,-99.09037
1038,coyoacan,,19.311586,-99.153915
2039,azcapotzalco,,19.461069,-99.183677
2039,azcapotzalco,,19.461069,-99.183677
3199,gustavo,,19.538143,-99.138351
2359,gustavo,,19.4885,-99.12685
16799,gustavo,,19.4885,-99.12685
3419,gustavo,,19.492,-99.103767
3419,iztapalapa,,19.336938,-99.111724
10199,gustavo,,19.504919,-99.132469
16799,tlalpan,,19.29497,-99.13202
24699,iztacalco,,19.39303,-99.070159
13398,gustavo,,19.537336,-99.146995
2039,tlalpan,,19.294759,-99.166374
2429,iztapalapa,,19.365877,-99.049461
16599,iztapalapa,,19.342418,-98.992408
6599,iztacalco,,19.4111,-99.065773
9959,azcapotzalco,,19.473907,-99.16291
1989,alvaroObregon,,19.329259,-99.27024
999,tlahuac,,19.298187,-99.053649
16699,iztapalapa,,19.3579,-99.055541
16699,gustavo,,19.5018,-99.1266
20299,cuahutemoc,,19.43925,-99.163604
16699,miguelHidalgo,,19.429861,-99.206398
16699,iztapalapa,,41.546276,2.10861301
20299,azcapotzalco,,19.461069,-99.183677
20299,benitoJuarez,,19.381729,-99.164985
2009,benitoJuarez,,19.367185,-99.162429
20299,benitoJuarez,,19.367185,-99.162429
6559,miguelHidalgo,,19.433916,-99.187873
2019,gustavo,,19.541828,-99.131088
4699,gustavo,,19.541828,-99.131088
16499,alvaroObregon,,19.359972,-99.23619
20299,benitoJuarez,,19.38874,-99.17461
6559,miguelHidalgo,,19.467096,-99.209983
20299,azcapotzalco,,19.464927,-99.180213
20299,tlahuac,,19.291593,-99.052963
6559,iztapalapa,,19.37873,-99.051254
4359,azcapotzalco,,19.49905,-99.20181
6559,iztapalapa,,19.342418,-98.992408
20299,gustavo,,19.478103,-99.094436
20299,tlalpan,,19.295326,-99.143142
6559,alvaroObregon,,19.34909,-99.196029
6559,benitoJuarez,,19.394638,-99.186447
20299,iztapalapa,,19.380271,-99.088958
16499,tlalpan,,19.287187,-99.170524
6399,miguelHidalgo,,19.429861,-99.206398
2019,gustavo,,19.471,-99.144958
6159,cuahutemoc,,19.457351,-99.155303
20299,alvaroObregon,,19.379261,-99.193771
6559,azcapotzalco,,19.47371,-99.15938
20299,benitoJuarez,,19.367185,-99.162429
16699,gustavo,,19.541828,-99.131088
6559,alvaroObregon,,19.386884,-99.215866
8659,venustiano,,19.456993,-99.118637
15199,gustavo,,19.478582,-99.070243
16499,gustavo,,19.478103,-99.094436
6699,iztapalapa,,19.345443,-99.110336
16699,azcapotzalco,,19.493106,-99.202659
20299,iztacalco,,19.382139,-99.127632
14659,tlalpan,,19.29497,-99.13202
6559,iztapalapa,,19.304809,-99.083374
3219,tlalpan,,19.287187,-99.170524
6559,tlalpan,,19.27898,-99.165336
3899,gustavo,,19.492315,-99.140876
3899,miguelHidalgo,,19.402915,-99.182983
6759,miguelHidalgo,,19.402915,-99.182983
16699,coyoacan,,19.328702,-99.164985
20299,iztapalapa,,19.452369,-99.138412
20299,gustavo,,19.518514,-99.153427
20299,venustiano,,19.432802,-99.098167
6559,gustavo,,19.48161,-99.09361
6559,cuahutemoc,,19.443178,-99.144233
