costoTotalItems,estado,lat,lon
31527,SONORA,"29.012058","-110.926261"
"419956.91",CHIHUAHUA,"34.206817","-118.200027"
71714,"CIUDAD DE MEXICO","19.346931","-99.0251541"
42822,"QUINTANA ROO","20.509872","-87.2244186"
"151934.49","NUEVO LEON","25.619880","-100.178382"
90988,"ESTADO DE MEXICO","19.530916","-99.0428772"
119801,"CIUDAD DE MEXICO","19.436515","-99.1739883"
"83234.15","ESTADO DE MEXICO","19.531152","-99.1702575"
42467,"CIUDAD DE MEXICO","19.474042","-99.1165618"
110642,"ESTADO DE MEXICO","19.615629","-99.2046127"
"218189.55000000002","CIUDAD DE MEXICO","19.301988","-99.0660934"
23537,"ESTADO DE MEXICO","19.541187","-99.0854492"
"343223.43","ESTADO DE MEXICO","19.480463","-99.0474319"
6957,VERACRUZ,"19.174221","-96.1398162"
217648,CHIHUAHUA,"31.612012","-106.414375"
45704,VERACRUZ,"20.531507","-97.4312133"
61695,"ESTADO DE MEXICO","18.839050","-99.6760101"
39290,SONORA,"29.11952","-110.9924"
108487,VERACRUZ,"18.843029","-97.1342544"
47847,"ESTADO DE MEXICO","19.539625","-99.2321395"
"520658.97",YUCATAN,"20.403144","-89.2842178"
444508,YUCATAN,"20.984598","-89.6351013"
5604,TAMAULIPAS,"22.253240","-97.8334732"
27864,COLIMA,"19.059764","-104.245773"
31847,PUEBLA,"19.021142","-98.1791839"
65524,CHIAPAS,"16.738151","-92.6228332"
15932,CHIHUAHUA,"31.705703","-106.473716"
25652,"SAN LUIS POTOSI","22.126081","-101.018402"
15168,JALISCO,"20.225051","-103.569725"
64160,"CIUDAD DE MEXICO","19.399120","-99.1414642"
210665,"ESTADO DE MEXICO","19.385955","-98.9921722"
90063,CAMPECHE,"18.663322","-91.7996444"
257477,HIDALGO,"20.055996","-98.721065"
106017,"CIUDAD DE MEXICO","19.393350","-99.1894226"
42493,"ESTADO DE MEXICO","19.575265","-99.1878662"
15937,"CIUDAD DE MEXICO","19.303705","-99.1054992"
3599,"CIUDAD DE MEXICO","19.306549","-99.2390670"
109554,"CIUDAD DE MEXICO","19.405298","-99.1649856"
13303,VERACRUZ,"17.879125","-94.9617156"
65347,"ESTADO DE MEXICO","19.328859","-98.9360885"
241965,SINALOA,"23.276031","-106.433097"
"44315.5",JALISCO,"20.672752","-103.320335"
"129831.43","NUEVO LEON","25.764722","-100.404892"
38015,QUERETARO,"20.613565","-100.379127"
117573,VERACRUZ,"18.629566","-95.5205001"
